date,close,open,high,low,change_pct
2010-01-01,3.588,3.858,3.904,3.563,-6.49
2010-02-01,3.619,3.606,3.828,3.537,0.86
2010-03-01,3.833,3.625,3.928,3.593,5.91
2010-04-01,3.659,3.839,4.013,3.655,-4.54
2010-05-01,3.303,3.663,3.713,3.064,-9.73
2010-06-01,2.935,3.3,3.427,2.928,-11.14
2010-07-01,2.905,2.942,3.132,2.855,-1.02
2010-08-01,2.47,2.925,2.972,2.419,-14.97
2010-09-01,2.512,2.482,2.849,2.449,1.7
2010-10-01,2.603,2.515,2.731,2.334,3.62
2010-11-01,2.797,2.621,2.967,2.458,7.45
2010-12-01,3.288,2.809,3.568,2.797,17.55
2011-01-01,3.374,3.305,3.497,3.253,2.62
2011-02-01,3.422,3.372,3.77,3.372,1.42
2011-03-01,3.47,3.44,3.598,3.143,1.4
2011-04-01,3.29,3.476,3.619,3.283,-5.19
2011-05-01,3.059,3.297,3.323,3.041,-7.02
2011-06-01,3.16,3.07,3.221,2.842,3.31
2011-07-01,2.793,3.162,3.223,2.773,-11.63
2011-08-01,2.234,2.82,2.858,1.976,-20
2011-09-01,1.917,2.222,2.278,1.674,-14.18
2011-10-01,2.116,1.919,2.42,1.717,10.37
2011-11-01,2.072,2.135,2.153,1.872,-2.1
2011-12-01,1.876,2.079,2.167,1.798,-9.43
2012-01-01,1.795,1.876,2.094,1.792,-4.31
2012-02-01,1.974,1.797,2.08,1.797,9.95
2012-03-01,2.214,1.983,2.399,1.931,12.17
2012-04-01,1.919,2.237,2.308,1.884,-13.33
2012-05-01,1.563,1.919,1.966,1.533,-18.56
2012-06-01,1.643,1.57,1.728,1.442,5.14
2012-07-01,1.47,1.652,1.66,1.381,-10.56
2012-08-01,1.548,1.468,1.863,1.446,5.36
2012-09-01,1.633,1.552,1.894,1.542,5.5
2012-10-01,1.694,1.623,1.856,1.599,3.73
2012-11-01,1.616,1.702,1.781,1.556,-4.61
2012-12-01,1.757,1.618,1.847,1.564,8.67
2013-01-01,1.985,1.757,2.037,1.757,13
2013-02-01,1.881,1.99,2.064,1.836,-5.24
2013-03-01,1.852,1.877,2.087,1.827,-1.53
2013-04-01,1.673,1.875,1.888,1.638,-9.65
2013-05-01,2.132,1.668,2.235,1.614,27.39
2013-06-01,2.487,2.157,2.667,1.999,16.69
2013-07-01,2.588,2.495,2.755,2.415,4.02
2013-08-01,2.789,2.584,2.936,2.552,7.8
2013-09-01,2.615,2.837,3.007,2.59,-6.24
2013-10-01,2.552,2.614,2.759,2.471,-2.41
2013-11-01,2.746,2.56,2.839,2.554,7.6
2013-12-01,3.026,2.753,3.036,2.752,10.2
2014-01-01,2.644,3.038,3.041,2.646,-12.63
2014-02-01,2.649,2.666,2.786,2.57,0.2
2014-03-01,2.719,2.61,2.821,2.592,2.63
2014-04-01,2.646,2.726,2.81,2.596,-2.69
2014-05-01,2.475,2.659,2.7,2.402,-6.46
2014-06-01,2.532,2.484,2.662,2.475,2.31
2014-07-01,2.562,2.53,2.692,2.441,1.16
2014-08-01,2.345,2.562,2.591,2.303,-8.46
2014-09-01,2.495,2.357,2.655,2.354,6.41
2014-10-01,2.335,2.5,2.508,1.865,-6.4
2014-11-01,2.173,2.309,2.407,2.166,-6.96
2014-12-01,2.17,2.178,2.347,2.009,-0.12
2015-01-01,1.639,2.2,2.213,1.637,-24.48
2015-02-01,1.997,1.653,2.164,1.649,21.81
2015-03-01,1.927,2.005,2.259,1.852,-3.5
2015-04-01,2.035,1.93,2.11,1.802,5.64
2015-05-01,2.123,2.049,2.366,2.046,4.32
2015-06-01,2.349,2.128,2.5,2.106,10.66
2015-07-01,2.187,2.373,2.47,2.176,-6.91
2015-08-01,2.214,2.2,2.293,1.905,1.24
2015-09-01,2.035,2.214,2.303,2.035,-8.1
2015-10-01,2.146,2.042,2.183,1.904,5.44
2015-11-01,2.208,2.137,2.377,2.13,2.89
2015-12-01,2.269,2.217,2.358,2.12,2.79
2016-01-01,1.923,2.293,2.293,1.911,-15.28
2016-02-01,1.738,1.933,1.966,1.53,-9.59
2016-03-01,1.77,1.737,2.002,1.702,1.85
2016-04-01,1.835,1.784,1.941,1.685,3.65
2016-05-01,1.851,1.83,1.89,1.7,0.88
2016-06-01,1.475,1.844,1.856,1.406,-20.33
2016-07-01,1.45,1.471,1.628,1.321,-1.7
2016-08-01,1.578,1.463,1.635,1.463,8.87
2016-09-01,1.598,1.58,1.752,1.519,1.24
2016-10-01,1.826,1.6,1.879,1.593,14.24
2016-11-01,2.39,1.838,2.417,1.716,30.92
2016-12-01,2.446,2.397,2.641,2.34,2.35
2017-01-01,2.466,2.439,2.555,2.305,0.81
2017-02-01,2.397,2.461,2.524,2.31,-2.79
2017-03-01,2.389,2.415,2.629,2.348,-0.33
2017-04-01,2.289,2.396,2.405,2.165,-4.19
2017-05-01,2.206,2.282,2.423,2.181,-3.62
2017-06-01,2.304,2.213,2.309,2.103,4.41
2017-07-01,2.296,2.314,2.398,2.225,-0.33
2017-08-01,2.121,2.303,2.321,2.086,-7.64
2017-09-01,2.339,2.127,2.359,2.016,10.3
2017-10-01,2.378,2.344,2.477,2.273,1.65
2017-11-01,2.415,2.379,2.437,2.304,1.58
2017-12-01,2.405,2.411,2.504,2.314,-0.4
2018-01-01,2.713,2.429,2.754,2.416,12.77
2018-02-01,2.864,2.724,2.957,2.648,5.59
2018-03-01,2.741,2.866,2.936,2.739,-4.31
2018-04-01,2.955,2.759,3.035,2.717,7.82
2018-05-01,2.86,2.959,3.128,2.759,-3.2
2018-06-01,2.86,2.862,3.01,2.822,0
2018-07-01,2.962,2.858,2.99,2.807,3.55
2018-08-01,2.86,2.958,3.016,2.808,-3.42
2018-09-01,3.065,2.86,3.113,2.855,7.15
2018-10-01,3.149,3.067,3.261,3.046,2.75
2018-11-01,2.993,3.155,3.25,2.988,-4.95
2018-12-01,2.686,3.037,3.05,2.679,-10.27
2019-01-01,2.633,2.686,2.799,2.543,-1.98
2019-02-01,2.717,2.645,2.74,2.624,3.19
2019-03-01,2.407,2.719,2.768,2.34,-11.41
2019-04-01,2.504,2.43,2.614,2.424,4.02
2019-05-01,2.133,2.509,2.578,2.126,-14.79
2019-06-01,2.007,2.126,2.178,1.974,-5.93
2019-07-01,2.007,2.045,2.15,1.939,0.03
2019-08-01,1.499,2.025,2.061,1.443,-25.31
2019-09-01,1.668,1.508,1.908,1.429,11.24
2019-10-01,1.688,1.67,1.86,1.505,1.17
2019-11-01,1.774,1.689,1.973,1.67,5.13
2019-12-01,1.919,1.796,1.952,1.693,8.18
2020-01-01,1.505,1.919,1.946,1.503,-21.58
2020-02-01,1.163,1.514,1.684,1.116,-22.71
2020-03-01,0.668,1.105,1.283,0.318,-42.59
2020-04-01,0.646,0.663,0.785,0.543,-3.34
2020-05-01,0.653,0.63,0.745,0.59,1.08
2020-06-01,0.658,0.64,0.959,0.618,0.78
2020-07-01,0.533,0.658,0.724,0.52,-18.94
2020-08-01,0.706,0.535,0.789,0.504,32.51
2020-09-01,0.686,0.713,0.731,0.604,-2.93
2020-10-01,0.874,0.689,0.877,0.653,27.42
2020-11-01,0.842,0.855,0.975,0.718,-3.61
2020-12-01,0.916,0.847,0.986,0.834,8.82
2021-01-01,1.071,0.93,1.187,0.906,16.81
2021-02-01,1.407,1.071,1.614,1.06,31.38
2021-03-01,1.744,1.395,1.776,1.383,23.99
2021-04-01,1.626,1.737,1.753,1.528,-6.77
2021-05-01,1.581,1.631,1.707,1.469,-2.78
2021-06-01,1.468,1.608,1.639,1.354,-7.13
2021-07-01,1.226,1.47,1.485,1.128,-16.51
2021-08-01,1.307,1.237,1.379,1.127,6.65
2021-09-01,1.492,1.317,1.567,1.26,14.18
2021-10-01,1.561,1.501,1.705,1.453,4.58
2021-11-01,1.456,1.575,1.693,1.412,-6.71
2021-12-01,1.512,1.477,1.56,1.335,3.82
2022-01-01,1.784,1.531,1.902,1.529,17.99
2022-02-01,1.822,1.787,2.065,1.739,2.12
2022-03-01,2.345,1.84,2.557,1.668,28.74
2022-04-01,2.938,2.352,2.981,2.352,25.26
2022-05-01,2.849,2.932,3.203,2.706,-3
2022-06-01,3.017,2.864,3.498,2.833,5.86
2022-07-01,2.658,3.024,3.103,2.618,-11.9
2022-08-01,3.196,2.669,3.198,2.516,20.27
2022-09-01,3.829,3.198,4.019,3.174,19.78
2022-10-01,4.05,3.813,4.338,3.562,5.78
2022-11-01,3.611,4.058,4.243,3.6,-10.84
2022-12-01,3.879,3.62,3.905,3.402,7.41
2023-01-01,3.51,3.848,3.848,3.321,-9.49
2023-02-01,3.928,3.516,3.983,3.333,11.89
2023-03-01,3.473,3.938,4.091,3.285,-11.57
2023-04-01,3.433,3.524,3.639,3.253,-1.15
2023-05-01,3.646,3.45,3.859,3.296,6.21
2023-06-01,3.841,3.639,3.892,3.57,5.33
2023-07-01,3.967,3.845,4.094,3.727,3.29
2023-08-01,4.106,3.965,4.366,3.949,3.51
2023-09-01,4.579,4.114,4.688,4.06,11.52
2023-10-01,4.926,4.614,5.021,4.53,7.58
2023-11-01,4.33,4.926,4.935,4.247,-12.1
2023-12-01,3.866,4.321,4.349,3.783,-10.72
2024-01-01,3.918,3.899,4.198,3.881,1.35
2024-02-01,4.254,3.931,4.354,3.816,8.58
2024-03-01,4.206,4.254,4.348,4.038,-1.13
2024-04-01,4.682,4.19,4.739,4.188,11.31
2024-05-01,4.503,4.682,4.694,4.313,-3.83
2024-06-01,4.392,4.493,4.501,4.188,-2.45
2024-07-01,4.033,4.412,4.493,4.031,-8.17
2024-08-01,3.909,4.056,4.066,3.667,-3.08
2024-09-01,3.786,3.928,3.932,3.599,-3.16
2024-10-01,4.281,3.779,4.339,3.696,13.09
2024-11-01,4.177,4.292,4.505,4.172,-2.43
2024-12-01,4.572,4.207,4.641,4.126,9.45
2025-01-01,4.542,4.561,4.792,4.519,-0.66
2025-02-01,4.202,4.551,4.625,4.202,-7.49
2025-03-01,4.21,4.158,4.36,4.158,0.2
2025-04-01,4.175,4.16,4.495,3.999,-0.83
2025-05-01,4.418,4.215,4.595,4.215,5.82
2025-06-01,4.226,4.441,4.505,4.231,-4.35
